day,soil,stage,soil_vwc_pct,soil_temp_c,air_temp_c,humidity_pct,rain_24h_mm,rain_forecast_mm,et0_mm,kc,days_since_irrigation,soil_sandy,soil_loamy,soil_clayey,taw_mm,raw_mm,depletion_mm,policy_irrigate,irrigate,depth_mm,root_depth_m,etc_mm,est_taw_mm,est_raw_mm,est_depletion_mm,depletion_ratio,projected_deficit_mm,projected_deficit_ratio,forecast_adj_ratio
1782,sandy,late,14.917008698848253,19.116851133850332,19.68461506607941,53.26489400181151,0.0,0.0,4.306318182066927,0.85,2,1,0,0,90.0,54.0,7.054419990192224,0,0,0.0,1.0,3.6603704547568876,90.0,54.0,10.829913011517478,0.20055394465773108,14.490283466274366,0.2683385827087846,0.2683385827087846
1917,loamy,late,27.780856636172118,26.17389607370278,28.290214589876925,79.86192401995311,9.47625462579712,0.0,4.4816177251152585,0.85,2,0,1,0,140.0,77.0,0.0,0,0,0.0,1.0,3.8093750663479695,140.0,77.0,2.191433638278839,0.028460177120504405,-3.4754459211703113,-0.04513566131390015,-0.04513566131390015
221,sandy,mid,14.825193119464888,34.649368028338266,33.905128396490554,75.85204743427612,9.29702712358002,1.9976275246611785,4.195565554089441,1.15,9,1,0,0,72.0,43.199999999999996,16.44310630110142,0,0,0.0,0.8,4.824900387202857,72.0,43.199999999999996,9.398455044280896,0.21755682972872445,4.9263283079037326,0.1140353774977716,0.06779399961209616
135,loamy,harvest,24.790525774858406,27.69924259492925,28.210429081606385,42.59946172290263,0.0,0.0,5.25928949221773,0.7,21,0,1,0,140.0,77.0,37.78703825071587,1,1,40.0,1.0,3.6815026445524106,140.0,77.0,32.09474225141598,0.41681483443397377,35.77624489596839,0.46462655709049855,0.46462655709049855
1224,clayey,late,39.63589011485003,27.025679555813596,29.259670736478842,74.3163850765306,5.631484890261995,6.602872271892862,3.9408863688860576,0.85,3,0,0,1,150.0,67.5,0.5068784548958156,0,0,0.0,1.0,3.349753413553149,150.0,67.5,0.0,0.0,-2.2817314767088464,-0.033803429284575505,-0.13162375923854383
1168,sandy,development,16.10940949035535,24.911761768664896,24.124475501518074,55.624889447206044,0.0,0.0,4.732388918972291,0.9,0,1,0,0,40.5,24.3,0.0,0,0,0.0,0.45,4.259150027075062,40.5,24.3,0.0,0.0,4.259150027075062,0.1752736636656404,0.1752736636656404
879,sandy,development,15.090976335459093,30.50534283928524,32.140785049249445,66.93964875397276,23.314366132499895,0.0,4.024081191428467,0.9,13,1,0,0,40.5,24.3,3.7714914333046017,0,0,0.0,0.45,3.62167307228562,40.5,24.3,4.0906064904340775,0.16833771565572336,-15.602086569780198,-0.6420611757111192,-0.6420611757111192
156,sandy,initial,15.127388754170001,30.54235868305597,32.94232414937042,51.754014039971935,0.0,0.0,5.768553049926927,0.6,12,1,0,0,22.5,13.5,0.0,0,0,0.0,0.25,3.461131829956156,22.5,13.5,2.181528114574997,0.1615946751537035,5.642659944531154,0.4179748107060114,0.4179748107060114
1657,sandy,late,14.943174022861918,30.148407740020208,30.47764626873321,73.30850711568662,6.468951878332295,2.1170988857163,3.6668373252099324,0.85,21,1,0,0,90.0,54.0,2.3592914873336994,0,0,0.0,1.0,3.1168117264284425,90.0,54.0,10.568259771380816,0.19570851428482994,7.216119619476965,0.133631844805129,0.09442630988445676
323,sandy,development,12.325744509854884,24.823737677534133,25.975026463707678,53.386068613448,0.0,0.0,4.19732935975808,0.9,3,1,0,0,40.5,24.3,12.050439376030686,1,1,18.621218588015246,0.45,3.7775964237822723,40.5,24.3,16.53414970565302,0.6804176833602066,20.311746129435292,0.8358743263142095,0.8358743263142095
1302,clayey,development,37.851229754095584,27.986964759890725,30.942896626526714,67.33415812271637,1.2982052529919739,0.0,3.4866353883565364,0.9,10,0,0,1,67.5,30.375,0.0,0,0,0.0,0.45,3.137971849520883,67.5,30.375,0.669466106569877,0.02204003643028402,2.5092327030987858,0.08260848405263492,0.08260848405263492
611,loamy,mid,26.229061263004,28.56134841248696,30.123684971788837,48.72835280426408,0.0,0.0,5.900769212842079,1.15,3,0,1,0,112.0,61.60000000000001,11.524955234532491,0,0,0.0,0.8,6.7858845947683895,112.0,61.60000000000001,14.167509895968022,0.2299920437657146,20.95339449073641,0.34015250796650015,0.34015250796650015
811,sandy,late,13.484043007297439,22.351632696994418,24.530231346383047,41.349621424434204,0.0,0.0,5.716461897019433,0.85,5,1,0,0,90.0,54.0,22.129361214231917,0,0,0.0,1.0,4.858992612466518,90.0,54.0,25.159569927025615,0.46591796161158544,30.018562539492134,0.5558993062868913,0.5558993062868913
393,sandy,late,15.65957300724597,23.495157683504885,23.124331917504094,57.074748458052454,0.0,0.0,4.418470158146718,0.85,3,1,0,0,90.0,54.0,9.976518188606072,0,0,0.0,1.0,3.7556996344247104,90.0,54.0,3.4042699275403097,0.06304203569519091,7.1599695619650205,0.13259202892527816,0.13259202892527816
1593,loamy,mid,23.89377243280857,30.90849341217251,32.29040389058592,50.4597615029159,0.0,0.0,6.6099782637290225,1.15,21,0,1,0,112.0,61.60000000000001,30.630837332848238,1,1,40.0,0.8,7.6014750032883756,112.0,61.60000000000001,32.84982053753145,0.5332763074274586,40.45129554081983,0.6566768756626594,0.6566768756626594
638,loamy,mid,28.726253921932866,24.998256403510776,27.609240483654773,67.62378765905437,31.303532770626546,11.84096145891312,3.8954631001264417,1.15,21,0,1,0,112.0,61.60000000000001,0.0,0,0,0.0,0.8,4.479782565145408,112.0,61.60000000000001,0.0,0.0,-26.82375020548114,-0.43545049034871974,-0.6276738906557509
187,loamy,development,26.609936880765666,34.50738031231091,35.46589500202731,46.528838758310386,0.0,0.0,7.04183375949407,0.9,1,0,1,0,63.0,34.650000000000006,6.340381293563272,0,0,0.0,0.45,6.337650383544663,63.0,34.650000000000006,6.255284036554512,0.180527677822641,12.592934420099175,0.36343245079651293,0.36343245079651293
1351,clayey,mid,34.80297241287461,29.429318321509374,31.933323811412734,60.999655886641534,11.446253325060722,19.035565691476926,3.6715650890918035,1.15,14,0,0,1,120.0,54.0,18.522354975369993,0,0,0.0,0.8,4.222299852455573,120.0,54.0,25.57622069700312,0.4736337166111689,18.35226722439797,0.33985680045181427,-0.012653675316276957
319,sandy,development,14.104209167152352,20.73213867655707,22.45901246479867,57.76742841780422,0.0,0.0,4.596275418234804,0.9,4,1,0,0,40.5,24.3,8.532135698410984,1,1,14.904451264496831,0.45,4.136647876411323,40.5,24.3,8.531058747814422,0.3510723764532684,12.667706624225744,0.5213047993508536,0.5213047993508536
167,sandy,development,12.99346848554895,33.97412562118738,34.07430699187191,52.24100555204926,0.0,0.0,5.6872436931750885,0.9,9,1,0,0,40.5,24.3,11.442611004401606,1,1,19.483682739128454,0.45,5.11851932385758,40.5,24.3,13.529391815029724,0.5567650952687129,18.647911138887302,0.7674037505714939,0.7674037505714939
746,sandy,development,15.175699651941914,25.103670477151514,25.604576517935243,84.5110629797965,14.632050648578396,0.0,2.9526775261135976,0.9,1,1,0,0,40.5,24.3,3.8507639890232914,0,0,0.0,0.45,2.6574097735022377,40.5,24.3,3.709351566261396,0.15264821260334963,-8.265289308814761,-0.3401353625026651,-0.3401353625026651
1470,clayey,mid,37.094015554863816,16.061307511122795,17.770386973942937,63.02586146665732,0.0,0.0,3.2108368331241515,1.15,0,0,0,1,120.0,54.0,0.0,0,0,0.0,0.8,3.692462358092774,120.0,54.0,7.247875561089457,0.13421991779795292,10.94033791918223,0.20259885035522648,0.20259885035522648
1707,loamy,development,24.47143316445002,29.112053920821936,30.201702641936407,68.254941879946,1.7721421665605028,45.65219327490138,4.1322541634767695,0.9,13,0,1,0,63.0,34.650000000000006,17.02301045267246,0,0,0.0,0.45,3.7190287471290926,63.0,34.650000000000006,15.87855075997493,0.4582554331883096,17.82543734054352,0.5144426360907219,0.014442636090721982
764,loamy,mid,26.357638647758936,21.54818537513187,22.4570338648539,50.59924630187977,0.0,0.0,4.658651611248625,1.15,18,0,1,0,112.0,61.60000000000001,20.18577024804725,0,0,0.0,0.8,5.357449352935919,112.0,61.60000000000001,13.138890817928539,0.2132936821092295,18.496340170864457,0.30026526251403335,0.30026526251403335
1112,clayey,harvest,34.04745982451,18.43600363674052,22.158685697903643,59.09386591973604,0.0,0.0,3.8127383995569284,0.7,20,0,0,1,150.0,67.5,26.361669251652348,0,0,0.0,1.0,2.6689168796898497,150.0,67.5,39.52540175489999,0.5855615074799998,42.19431863458984,0.6251010168087384,0.6251010168087384
6,clayey,initial,37.891956225741986,19.0051483214155,21.282117736954053,48.36210227018043,0.0,0.0,4.067390891029586,0.6,6,0,0,1,37.5,16.875,2.350181704919482,0,0,0.0,0.25,2.440434534617751,37.5,16.875,0.2701094356450384,0.016006485075261537,2.7105439702627896,0.16062482786742457,0.16062482786742457
1871,sandy,mid,15.294629341627848,20.518171679589834,21.832676479141952,61.604980520935875,0.0,0.0,4.181594879866692,1.15,1,1,0,0,72.0,43.199999999999996,5.056106182308211,0,0,0.0,0.8,4.8088341118466955,72.0,43.199999999999996,5.642965266977207,0.13062419599484276,10.451799378823903,0.2419398004357385,0.2419398004357385
1756,clayey,mid,35.290219818262976,21.257256774217254,24.86297510912634,48.29594610540793,0.0,0.0,4.2347734310533,1.15,2,0,0,1,120.0,54.0,12.419779311226119,0,0,0.0,0.8,4.869989445711295,120.0,54.0,21.67824145389621,0.40144891581289277,26.548230899607503,0.4916339055482871,0.4916339055482871
1193,loamy,mid,27.73266180902388,25.792157636481022,27.538076364187432,51.917024682458084,0.0,0.0,5.97547401008836,1.15,0,0,1,0,112.0,61.60000000000001,0.9458417066509384,0,0,0.0,0.8,6.871795111601613,112.0,61.60000000000001,2.138705527808993,0.03471924558131481,9.010500639410605,0.14627436102939292,0.14627436102939292
1754,loamy,mid,27.762033655929685,26.9651365634686,29.29831640393927,60.73061272647863,9.810572490113909,0.0,3.740529730493219,1.15,1,0,1,0,112.0,61.60000000000001,6.3176694383322305,0,1,0.0,0.8,4.301609190067201,112.0,61.60000000000001,1.903730752562538,0.030904720009132105,-3.60523254748417,-0.05852650239422353,-0.05852650239422353
1625,clayey,mid,35.0477250952921,30.109569697283582,34.29160733309113,58.31331559896981,0.0,0.0,6.503038504681671,1.15,3,0,0,1,120.0,54.0,21.656191010382784,1,1,34.27610034207848,0.8,7.478494280383921,120.0,54.0,23.618199237663177,0.4373740599567255,31.096693518047097,0.57586469477865,0.57586469477865
894,clayey,mid,34.45589107220832,30.756547025002472,31.59864573105291,73.83519171606665,1.5805427498656164,18.435929223877515,3.946727556359686,1.15,8,0,0,1,120.0,54.0,21.173101196346728,0,0,0.0,0.8,4.538736689813638,120.0,54.0,28.35287142233347,0.5250531744876569,31.311065362281493,0.5798345437459536,0.23842844700748106
102,clayey,late,36.60009850110467,28.381888095421814,30.385211920456758,60.55677914517912,0.0,0.0,5.735560539329563,0.85,2,0,0,1,150.0,67.5,11.10267765924544,0,0,0.0,1.0,4.875226458430128,150.0,67.5,13.99901498895334,0.20739281465116058,18.87424144738347,0.2796183918130884,0.2796183918130884
1261,sandy,initial,14.91574588764431,33.33607975206979,33.45017705678102,64.00094480979877,60.0,17.674159906758895,5.061248455300816,0.6,21,1,0,0,22.5,13.5,4.169644566049023,0,0,0.0,0.25,3.036749073180489,22.5,13.5,2.7106352808892247,0.200787798584387,-54.252615645930284,-4.01871227006891,-4.51871227006891
338,loamy,mid,25.07127105383375,21.525399022997906,23.616170246899983,55.50509782369292,0.0,0.0,3.8609619203533168,1.15,12,0,1,0,112.0,61.60000000000001,18.433031597987302,0,0,0.0,0.8,4.440106208406314,112.0,61.60000000000001,23.42983156933003,0.38035440859301994,27.869937777736343,0.4524340548333821,0.4524340548333821
84,sandy,mid,16.10837153153378,23.14602252548378,23.58318331125724,81.85460123025267,17.12321790379934,3.715715447392874,3.0695823969571148,1.15,15,1,0,0,72.0,43.199999999999996,2.0837966515397985,0,0,0.0,0.8,3.530019756500682,72.0,43.199999999999996,0.0,0.0,-13.593198147298658,-0.3146573645208023,-0.4006692961734151
1821,loamy,initial,27.69912029431456,22.142636683648526,22.625514775926124,63.226756548461694,0.0,0.0,4.425825773392637,0.6,0,0,1,0,35.0,19.25,2.1766291967963767,0,0,0.0,0.25,2.655495464035582,35.0,19.25,0.7521992642136044,0.039075286452654776,3.4076947282491865,0.17702310276619151,0.17702310276619151
653,loamy,mid,27.127683430821516,23.749918354980498,26.35507692826189,48.42177415262137,0.0,0.0,5.303264427233979,1.15,0,0,1,0,112.0,61.60000000000001,2.468890080444311,0,0,0.0,0.8,6.098754091319075,112.0,61.60000000000001,6.978532553427908,0.11328786612707642,13.077286644746984,0.2122936143627757,0.2122936143627757
1545,clayey,initial,36.4295335942662,24.5944980888964,26.046685564607795,63.65855951921941,0.0,0.0,5.796186569220467,0.6,1,0,0,1,37.5,16.875,3.1437544742316237,0,0,0.0,0.25,3.47771194153228,37.5,16.875,3.9261660143344868,0.23266168973833995,7.403877955866767,0.4387483233106232,0.4387483233106232
746,loamy,development,28.22649018017979,18.37291008113537,18.979304827013983,43.662704793238056,0.0,3.875941133069665,3.773559389439199,0.9,0,0,1,0,63.0,34.650000000000006,0.0,0,0,0.0,0.45,3.396203450495279,63.0,34.650000000000006,0.0,0.0,3.396203450495279,0.09801452959582334,-0.013845243364340142
858,loamy,initial,27.15086303071534,28.008502709053296,30.12423021051939,69.79442661481043,16.440982449564395,0.0,4.752947187425175,0.6,8,0,1,0,35.0,19.25,0.0,0,0,0.0,0.25,2.8517683124551048,35.0,19.25,2.12284242321166,0.11027752847852779,-11.46637171389763,-0.5956556734492275,-0.5956556734492275
996,sandy,initial,15.196291624007037,31.73962942158182,31.60731961959289,35.80660104364906,0.0,0.0,5.671616740912085,0.6,5,1,0,0,22.5,13.5,0.0,0,0,0.0,0.25,3.4029700445472506,22.5,13.5,2.009270939982412,0.1488348844431416,5.412240984529662,0.4009067395947898,0.4009067395947898
228,sandy,mid,14.323822030551156,30.31098086593738,31.365007643000737,50.04268215474756,0.0,0.0,5.665442228031842,1.15,2,1,0,0,72.0,43.199999999999996,13.776852508007035,0,0,0.0,0.8,6.5152585622366175,72.0,43.199999999999996,13.409423755590755,0.31040332767571194,19.924682317827372,0.4612194980978559,0.4612194980978559
1264,loamy,initial,28.132542358150243,29.966243080715387,32.141625052687885,66.59972379365128,28.694275892179753,3.7276303037228167,4.127402347209627,0.6,6,0,1,0,35.0,19.25,0.0,0,0,0.0,0.25,2.476441408325776,35.0,19.25,0.0,0.0,-26.217834483853977,-1.361965427732674,-1.5556085603935996
828,clayey,harvest,35.26708336126235,22.881549849993586,26.037930434145267,60.03403669769215,0.0,6.390147839756243,5.59917064613907,0.7,5,0,0,1,150.0,67.5,24.355385053268883,0,0,0.0,1.0,3.919419452297349,150.0,67.5,27.329166387376482,0.4048765390722442,31.24858583967383,0.4629420124396123,0.36827315555433465
1942,loamy,late,26.144675466826946,22.296082376998957,24.072783277355086,69.71568524731252,31.362720747897253,0.0,3.151704031982615,0.85,2,0,1,0,140.0,77.0,17.949758560212185,0,0,0.0,1.0,2.6789484271852224,140.0,77.0,18.553245331730583,0.24095123807442315,-10.130526988981448,-0.13156528557118763,-0.13156528557118763
